peak.id	CRX_Corbo	N50	HDmono	HDdimer	NRL	AP1
peak.1288	2	0	3	0	2	1
peak.1289	0	0	0	0	1	0
peak.129	2	0	2	0	1	1
peak.1290	2	0	1	0	1	0
peak.1291	2	0	2	0	0	1
peak.1292	1	0	1	0	0	0
peak.1293	1	1	0	1	1	0
peak.1294	0	0	0	0	0	1
peak.1295	0	1	0	0	2	0
peak.1296	1	0	1	1	0	1
peak.1297	1	1	1	0	0	0
peak.1298	0	0	0	0	1	1
peak.1299	3	0	3	0	1	1
peak.13	0	0	0	0	0	1
peak.130	2	0	2	0	0	0
peak.1300	0	0	0	0	1	0
peak.1301	2	1	2	0	0	1
peak.1302	1	0	1	0	0	1
peak.1303	0	0	0	1	2	0
peak.1304	1	0	1	0	0	1
peak.1305	1	0	1	1	0	0
peak.1306	1	0	1	0	1	1
peak.1307	0	1	0	0	2	2
peak.1308	4	1	4	0	3	1
peak.1309	0	3	0	0	0	0
peak.131	2	0	2	1	2	0
peak.1310	0	0	0	0	0	0
peak.1311	1	1	1	1	2	1
peak.1312	0	0	0	0	0	0
peak.1313	0	0	1	0	0	0
peak.1314	1	0	1	1	0	0
peak.1315	2	1	1	0	0	1
peak.1316	0	0	0	0	0	0
peak.1317	2	1	2	0	0	0
peak.1318	0	0	0	0	1	0
peak.1319	4	0	4	0	1	0
peak.132	3	2	2	0	0	1
peak.1320	0	0	0	1	1	0
peak.1321	4	0	2	0	1	1
peak.1322	2	0	2	0	0	0
peak.1323	3	0	3	0	1	0
peak.1324	2	0	1	0	0	0
peak.1325	2	1	1	0	2	0
peak.1326	2	1	1	0	0	1
peak.1327	3	1	2	0	0	0
peak.1328	0	0	0	0	0	0
peak.1329	0	0	0	1	0	0
peak.133	1	0	1	1	0	1
peak.1330	2	1	3	0	0	0
peak.1331	2	0	2	0	0	0
peak.1332	2	3	3	0	0	2
peak.1333	1	1	1	0	2	2
peak.1334	3	0	2	0	2	0
peak.1335	3	0	3	0	0	0
peak.1336	2	1	3	0	1	0
peak.1337	1	0	1	0	0	0
peak.1338	1	1	0	0	0	2
peak.1339	3	1	2	0	0	0
peak.134	4	4	3	0	2	0
peak.1340	0	0	0	0	1	1
peak.1341	3	0	3	0	1	0
