label	wt_olap.DREME.1	e80a_olap.DREME.1	k88n_olap.MEME.2	k88n_olap.DREME.1	k88n_gain.MEME.1	e80a_loss.MEME.3	CRX_Corbo	Crx.MA0467.1	NRL.MA0842.2	FOS::JUN.MA0099.2	Lee_2010_CRX
peak.80	0.8681009849653046	0.8124040890231611	1.2335767311423536e-12	3.8851263831451886e-19	7.069352601334634e-17	2.5354080493875508e-09	0.2054018997083703	0.0022580555919412874	3.1952363542920904e-13	9.35580653899802e-06	0.47692736797857105
peak.81	0.5249791881734888	0.48962772639649826	3.675547708207087e-07	0.25962001491569625	2.560374599768491e-06	0.00011783365874153666	0.13565855695500678	3.407890575459382e-05	3.0225755303979686e-16	4.351891168929201e-05	0.33927044569896425
peak.82	0.9050435981397524	0.7489644593696174	1.9923880152128204e-13	0.840765948218068	9.562406088181132e-20	2.4429643961807343e-10	0.1364691206520112	1.4810901269345688e-07	4.120227623130785e-16	3.389932645147879e-06	0.3697638966246655
peak.83	8.440153427950556e-11	4.6470843933588336e-11	2.1646925612678475e-30	2.551829265862011e-10	1.4805565379292018e-24	1.9257225245522083e-19	0.0008259928326851454	1.1843184000270489e-14	2.5174850930176685e-21	3.423670007885277e-06	0.008868200499512832
peak.84	0.8859463782742579	0.7843159209993817	3.9957676789564734e-16	0.25962001497454074	3.370173872169733e-19	2.567903407025827e-13	0.2306387897876525	3.0342868079543375e-08	5.687865416688801e-15	1.0078274904876514e-06	0.4073875771859547
peak.85	0.5249791878162043	0.489627726152623	4.7094202815064e-10	2.9489316812125296e-10	9.382769439332225e-15	2.023898177909267e-09	0.3496484032485439	1.491831204761195e-05	3.7487251600593674e-14	1.795181283218604e-07	0.45581360344465194
peak.86	7.337098482223497e-10	6.27672958586145e-10	0.02763058485312217	3.492488416627365e-10	7.389206683119146e-06	5.502996913382596e-07	0.028522058785199277	1.5423306965895636e-07	1.9384288200098995e-14	0.020186141274988117	0.14260848911741147
peak.87	1.8042745247309204e-11	1.0913533718327127e-11	1.200521014170675e-28	6.021419952787233e-10	1.5766537625884903e-32	1.7886274999994013e-19	0.01498695647554758	2.2296820711456046e-09	3.116579504405391e-17	1.323126505186928e-07	0.06479509874785913
peak.88	0.3800644109953715	0.2593367338096262	1.1800806830925092e-17	7.337491991119001e-10	8.790980802771021e-17	6.10142699732652e-09	0.02666956872142226	5.651349327576524e-10	1.1580620759832031e-08	2.0952298917633584e-06	0.14397850635061013
peak.89	0.6544226059685294	0.5721447856177787	5.643852516553778e-11	8.967974234372674e-11	8.271159567079183e-18	6.820221343833894e-07	0.2143461981167693	2.4820670362274834e-07	1.4258453083044878e-13	0.00038935288596205457	0.4662949591738891
peak.90	0.887198204830663	0.7770526273717195	2.217254335817897e-06	4.255035109866893e-11	1.3134414158411941e-08	0.0003615652551627794	0.42270356486817273	0.005940062762216455	4.0113903018663564e-16	0.00018281160519484168	0.6271140404953222
peak.91	0.20564133472680826	0.11429919989092707	2.0457599366229016e-20	9.425878280399946e-11	3.800287834482802e-13	2.3150720385393316e-12	0.2609882081951459	5.29317926295081e-08	1.0719010201611042e-20	1.2588478614515321e-07	0.4805587387994967
peak.92	1.4843172783324378e-09	1.2881173068013808e-09	5.3209325554505585e-15	1.9681800741488038e-11	4.081704777541955e-18	1.4439368750134682e-10	0.11588326465561548	1.7755136577733846e-06	8.058247507126068e-15	2.058447090728437e-08	0.3116479048431318
peak.93	1.0499583751863966	0.9792554518652177	2.9697637194560843e-08	2.8789434688851346e-10	1.4028006680480868e-12	6.084853486351008e-05	0.3196622009344034	0.0910328114384496	2.4854768507248678e-21	1.7982808118694133e-05	0.6192474731418616
peak.94	1.2667542486017508e-09	1.1083352554293948e-09	1.2328754164033137e-08	7.379038180357102e-10	3.2899395667502428e-12	2.5176209541133367e-13	0.03450314408604916	8.83954109675604e-12	1.9670509317657284e-15	1.6177679030837985e-05	0.13807985888772456
peak.95	7.358307085150728e-10	4.314964508767918e-10	1.3832239479429234e-11	7.568619376562546e-11	1.1621330615200889e-17	5.6742196373868756e-15	0.01097866019222263	5.5546343340846984e-09	7.849793112820215e-11	1.584591423157566e-06	0.07290309525255236
peak.96	1.0499583762191573	0.9792554528131446	1.171199329253997e-19	4.255035106630748e-11	3.2521327806375503e-21	1.0986570342936058e-12	0.27198936683843294	1.2039417163476144e-06	9.336464561835698e-19	0.00044987461564943644	0.6390799053031038
peak.97	0.9050435983103823	0.7489644594587375	5.121005567621563e-09	1.0269936486332231e-09	1.0114326590323425e-14	0.02797157970474032	0.16015216883264055	2.794593803140953e-05	3.883746106892095e-11	4.5359868470904353e-07	0.43350952971349027
peak.98	1.9314921760903303e-10	1.8305184359401726e-10	3.1815198100323052e-18	1.968180073511472e-11	2.7256279676657058e-15	3.5072924688620794e-08	0.004396702661506773	3.592518289473631e-12	8.996022134759339e-18	1.06719743473928e-09	0.028710114183549237
peak.99	0.5249791875478559	0.4896277258981213	8.37532876052766e-12	6.170236112130612e-20	1.831384293737566e-20	2.5883922950265154e-08	0.19416953931428024	0.09100064973759465	3.849956059424737e-21	0.0001311946261371311	0.329507016986321
peak.100	0.5058819679660596	0.5249791877582353	1.556406326727902e-13	7.703480403869891e-10	9.365749850840413e-14	2.418429703288845e-05	0.1329940544479548	1.0441953686644076e-08	1.535755233164973e-17	0.00012048293784867966	0.30479750104927017
peak.101	1.8042745273966715e-11	1.0913533746977253e-11	8.916562504042122e-30	3.420255581315769e-20	5.203712002618373e-24	2.759973674041709e-12	0.00011835455282534167	3.884577831857031e-13	1.1168220444578187e-13	0.001612308648405405	0.0020253581325498935
peak.102	0.5058819677476877	0.5249791876170294	8.057190501236625e-15	2.0488540139444575	5.120137522422319e-16	2.2186346372941881e-07	0.5383730828247184	3.969630229380526e-07	5.087753912126324e-15	0.0027670013131928842	0.5809611962004092
peak.103	0.582079883956855	0.5567613277244569	4.695614473188824e-15	1.3410627359013162e-10	7.329838377571762e-14	2.2000975201860597e-14	0.6263161195910902	7.502017237336917e-05	9.686309805250333e-18	0.00012081510183650603	0.7571742868474771
peak.104	3.633409812041153e-10	3.2129113175695334e-10	7.323320136115716e-18	2.380076980953504e-10	2.3854217977569553e-18	2.3300989741869768e-08	0.013876899918061784	2.8782475268926234e-07	1.2287443806340517e-08	1.0576615452248858e-06	0.08461958144764875
peak.105	2.583396072976742e-10	2.505184938744894e-10	4.6350407961165856e-14	1.9681800780333922e-11	6.714799418949136e-16	1.245782064544113e-10	0.006428298280628017	3.143782856316074e-11	3.754345360656188e-21	0.00014633372540634777	0.036167019710091765
peak.106	0.0761979167005556	0.03178214053525324	3.0453289394429495e-19	5.1036585305103e-10	4.01182787892455e-20	1.0430732551448794e-15	0.05530591228898793	4.809026548146613e-06	1.9969215742202929e-16	0.00015428498496837732	0.26368750251183193
peak.107	0.5249791878813947	0.48962772622008965	2.8765712875920536e-16	1.0260999338662026e-19	5.752330005548401e-22	8.204096571479267e-15	0.3473093632851358	1.8993499283716442e-08	7.318217996398382e-22	0.00013119826366183484	0.431352901568035
peak.108	7.43926931021778e-11	4.248766621071904e-11	6.954539457455313e-26	4.2550350970202576e-11	2.5428363392376326e-26	3.4454335250944287e-16	0.00018146857495397257	4.3479304601469914e-13	4.217545249505902e-21	1.138679985600856e-07	0.0034383712864338866
peak.109	0.5058819681048362	0.5249791878392275	7.457920549689866e-14	4.712939161288306e-11	6.118810420491158e-14	9.106710677695464e-13	0.1331557853976395	1.6637461570158695e-11	8.85882532728752e-20	8.781350080314148e-06	0.29054342983074577
peak.110	0.5058819676923703	0.5249791875318688	3.645677418629694e-11	0.2797432070715034	1.5324749187168379e-12	6.823215245272334e-07	0.3367615609531113	2.126336011109738e-05	3.6136511336450178e-09	5.0657987598881696e-05	0.4501565265018341
