label	CRX_Corbo	VSX2.MA0726.1	RAX2.MA0717.1	VSX2_e14.5.MEME-1	E80A_atacLost.MEME-19	K88N_atacGain.STREME-1	K88N_chipGain.MEME.1	RORB_HUMAN.MA1150.1	NRL_HUMAN.MA0842.1	Nr2e3_MOUSE.MA0164.1	GFI1_MOUSE.H11MO.0.C	PRDM1.MA0508.2	PRDM1.MA0508.3	NEUROD1_HUMAN.MA1109.1	ASCL1_HUMAN.MA1100.1	ATOH7_HUMAN.MA1468.1	Bhlhe40_MOUSE.MA0464.1
peak.21	0.6792426350081232	9.083497844426361e-08	1.644505776651206e-05	1.8706746428388842e-17	1.625256070454479e-15	4.0812433297582546e-15	5.698796905360152e-22	1.0008933879065458e-07	6.448292241696231e-06	4.165151774233026e-15	0.0011960123678923195	2.195340534187386e-17	5.541368724574192e-10	5.660901483747062e-10	1.220445206664419e-10	9.758860536877538e-08	3.694146127396873e-05
peak.22	0.0027503543930727714	0.00041020211645304363	0.0013509535644931183	4.2472046376667584e-08	1.7943970217530764e-13	4.3977704334563764e-11	4.5099677064824806e-11	1.8911969901509925e-08	0.004219004662895281	4.755177452622768e-11	7.923072246927e-07	2.1224909864947623e-16	5.348304228932208e-11	3.2211878309765757e-12	1.0504448611825311e-08	3.2035794189621887e-09	3.9743444585942905e-06
peak.23	0.0007676762392809951	8.22719177276806e-08	7.073855945065803e-06	4.4518073242049843e-13	1.7916695133653503e-16	5.110693668898745e-18	2.136177162592705e-26	1.723573445196817e-06	1.5173535867581657e-06	2.0237182543198382e-20	3.0320745212997855e-08	1.3548112472084236e-15	4.1199311168329827e-10	1.0585511170952638e-06	1.0124187628852383e-12	5.35912422897709e-13	3.348167982532938e-14
peak.24	0.09306179479449939	0.000524697557641719	0.003243611042630688	1.1780968346000322e-05	3.057553630497831e-07	4.0900483387914914e-10	3.2265245854574638e-15	1.4358935229277223e-09	0.00030619929000110446	8.33020309002793e-15	2.132817498553234e-05	4.860455565629963e-15	8.557312389096442e-07	1.1133673731495416e-09	3.901102998058877e-09	1.5326083560644297e-07	2.4697574332541183e-13
peak.25	0.0001192690131261646	3.5425193971357043e-06	1.961763970826831e-05	1.7707115863543465e-14	1.0369316014320868e-13	6.032443184470738e-12	4.745065134913153e-16	4.03975294938157e-08	2.615007927744733e-08	3.170115773545875e-12	1.4521399086961102e-05	1.4949320825812208e-10	3.906423102740597e-12	2.020858818965793e-07	1.4680360207347357e-10	4.249405429095499e-09	7.927484451421315e-22
peak.26	0.10299404121950041	3.8724262998595003e-07	8.387922388879784e-05	3.1746565924446475e-11	5.7344797460507607e-08	8.055547120170446e-07	2.8315523171294903e-09	5.086615006195024e-07	3.0215433088031043e-06	6.737289490488699e-20	4.241785040147555e-06	1.1032262014322546e-17	8.59391271352674e-08	5.824837768107829e-06	1.3350974098047915e-09	1.4968512715837795e-09	6.228441356122427e-16
peak.27	0.018058354112390356	3.0913322445417294e-07	6.828118228504893e-05	2.5196989328917847e-15	1.832158471276381e-17	6.753995808401258e-13	6.912260606006228e-17	8.781124059609736e-09	4.856183757022559e-06	1.429862025266794e-10	0.000126628585596535	4.589926359077414e-12	4.021704746293669e-12	4.05232899130547e-09	1.6519303236254007e-10	2.534223860198182e-11	3.495564201259429e-21
peak.28	0.10421722000833275	0.0004413468116979014	0.003807942725489315	2.2604300732968805e-10	2.3481400441504206e-08	7.809739875473488e-08	6.733835645074118e-12	0.2213574897694082	6.703778471086979e-07	0.1249644630548065	2.1886031866746473e-08	1.3034552663650277e-10	3.0229096145238655e-10	4.305221344680301e-11	7.75182404523055e-12	1.2336157265023722e-10	1.2163484750022703e-14
peak.29	0.00017066894131690787	5.04004353701565e-06	0.00012720941804586348	8.531223280107823e-14	4.436573811624022e-05	4.240515876209053e-05	0.3368043524208498	2.8136868244188446e-07	0.0011795196822254272	4.165112013481788e-15	1.4080090823114022e-16	1.5549947970433285e-13	2.235107053810315e-14	2.0227766301060284e-07	5.491878263642322e-07	9.986237160899998e-10	5.693824630139312e-15
peak.30	0.0060299312855564636	3.639950778249738e-05	0.002254352360411772	2.559871398094162e-10	1.1489316933892207e-11	8.072783836770748e-17	2.926718584312181e-15	2.9573109060615452e-08	2.9621924744529364e-05	2.4130486640491003e-11	4.768699153074583e-05	2.446925579376146e-12	1.3648412975970232e-09	2.5925850410797515e-08	1.4825747406176745e-08	1.392276147729132e-08	2.4399839531798367e-20
